Datei;Beschichtung;Zwischenschicht;Normalkraft [N];Frequenz [Hz];Bewegungshub [µm];Widerstand bei 1 Zyklen;Widerstand bei 2 Zyklen;Widerstand bei 5 Zyklen;Widerstand bei 10 Zyklen;Widerstand bei 20 Zyklen;Widerstand bei 50 Zyklen;Widerstand bei 100 Zyklen;Widerstand bei 500 Zyklen;Widerstand bei 1000 Zyklen;Widerstand bei 2000 Zyklen;Widerstand bei 5000 Zyklen;Widerstand bei 10000 Zyklen;Widerstand bei 20000 Zyklen;Widerstand bei 50000 Zyklen;Widerstand bei 100000 Zyklen;Widerstand bei 200000 Zyklen;Widerstand bei 500000 Zyklen
AgNi 300 V1 Wdh.txt;Ag;Ni;2;2;100;0,605413;1,210877;3,790433;8,492383;11,952234;5,200886;0,57733;0,532327;1,009663;3,222208;1,512925;2,998861;1,912821;3,359626;7,450465;38,25777;
AgNi 300 V2-2.txt;Ag;Ni;2;2;100;2,681893;3,085631;4,997604;6,209971;6,932212;3,139439;2,430141;3,299111;3,640975;6,273086;3,817067;4,456209;19,468313;;;;
AgNi 300 V3 Wdh.txt;Ag;Ni;2;2;100;1,109728;13,244042;19,43011;37,607476;33,355217;10,609697;7,897538;1,624779;0,756068;0,43184;7,555226;1,642021;1,898591;16,190514;6,485454;8,028087;
AgNi 300 V4 Neu.txt;Ag;Ni;2;2;100;0,587953;0,613385;0,860149;1,025078;0,731479;0,553708;0,464319;0,590219;1,353426;1,136122;1,64224;2,408468;2,759477;18,480381;;;
AgNi 300 V5.txt;Ag;Ni;2;2;100;1,771414;1,744471;2,015912;1,910659;1,934077;0,764213;0,534068;0,535327;0,787631;0,945509;4,073371;3,30261;2,37372;41,043706;89,825757;;
AgNi 300 V6.txt;Ag;Ni;2;2;100;1,431538;1,447555;3,342768;4,876891;6,26895;9,226901;4,539436;7,309351;9,863568;15,059411;11,68811;0,919214;2,505272;9,214321;;;
AgNi 300 V7-2.txt;Ag;Ni;2;2;100;0,789442;0,788761;0,790583;0,631419;0,585295;0,539578;0,517304;0,681765;0,890366;2,07706;8,167607;4,397627;18,486271;;;;
AgNi 300 V7.txt;Ag;Ni;2;2;100;1,890542;5,596283;9;9;;;;;;;;;;;;;
AgNi 5 V1.txt;Ag;Ni;2;2;100;0,438709;0,435017;0,3912;0,359496;0,342362;0,328195;0,314012;0,291972;0,284937;1,31143;;;;;;;
AgNi 5 V2.txt;Ag;Ni;2;2;100;0,500037;0,452483;0,435596;0,413454;0,391849;0,366804;0,341531;0,300085;0,597193;0,673413;;;;;;;
